-----------------------------------------------------------
collectivecognition-v1.1-mistral-7b.Q8_0.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-technology/default/1337    358             175             0.49
-----------------------------------------------------------
mean:0.533      range:0.240     sd:0.050
-----------------------------------------------------------

-----------------------------------------------------------
mistral_7b_dolphin2.1_lima0.5.Q8_0.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     367             241             0.66
poem-love/default/1324932       417             248             0.59
poem-dreams/default/1324932     431             239             0.55
poem-social/default/1324932     451             261             0.58
poem-identity/default/1324932   350             214             0.61
poem-adventure/default/1324932  275             189             0.69
poem-memories/default/1324932   379             204             0.54
poem-art/default/1324932        306             188             0.61
poem-freedom/default/1324932    449             235             0.52
poem-technology/default/1324932 288             193             0.67
poem-nature/default/39292       419             217             0.52
poem-love/default/39292         523             277             0.53
poem-dreams/default/39292       196             126             0.64
poem-social/default/39292       430             255             0.59
poem-identity/default/39292     211             134             0.64
poem-adventure/default/39292    481             283             0.59
poem-memories/default/39292     264             153             0.58
poem-art/default/39292          408             251             0.62
poem-freedom/default/39292      249             163             0.65
poem-technology/default/39292   433             236             0.55
poem-nature/default/190192      208             152             0.73
poem-love/default/190192        303             185             0.61
poem-dreams/default/190192      261             159             0.61
poem-social/default/190192      287             176             0.61
poem-identity/default/190192    119             86              0.72
poem-adventure/default/190192   293             179             0.61
poem-memories/default/190192    208             142             0.68
poem-art/default/190192         194             120             0.62
poem-freedom/default/190192     328             193             0.59
poem-technology/default/190192  438             267             0.61
poem-nature/default/12912       318             220             0.69
poem-love/default/12912         368             224             0.61
poem-dreams/default/12912       238             155             0.65
poem-social/default/12912       301             186             0.62
poem-identity/default/12912     378             232             0.61
poem-adventure/default/12912    425             264             0.62
poem-memories/default/12912     235             158             0.67
poem-art/default/12912          904             395             0.44
poem-freedom/default/12912      469             244             0.52
poem-technology/default/12912   238             143             0.60
poem-nature/default/1337        322             192             0.60
poem-love/default/1337          392             235             0.60
poem-dreams/default/1337        293             173             0.59
poem-social/default/1337        304             191             0.63
poem-identity/default/1337      403             219             0.54
poem-adventure/default/1337     756             382             0.51
poem-memories/default/1337      280             186             0.66
poem-art/default/1337           318             173             0.54
poem-freedom/default/1337       908             228             0.25
poem-technology/default/1337    429             235             0.55
-----------------------------------------------------------
mean:0.597      range:0.480     sd:0.075
-----------------------------------------------------------

-----------------------------------------------------------
mythomax-l2-13b.Q5_K_M.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     285             174             0.61
poem-love/default/1324932       204             127             0.62
poem-dreams/default/1324932     267             171             0.64
poem-social/default/1324932     250             148             0.59
poem-identity/default/1324932   231             144             0.62
poem-adventure/default/1324932  311             184             0.59
poem-memories/default/1324932   302             171             0.57
poem-art/default/1324932        241             152             0.63
poem-freedom/default/1324932    271             161             0.59
poem-technology/default/1324932 286             172             0.60
poem-nature/default/39292       274             162             0.59
poem-love/default/39292         321             189             0.59
poem-dreams/default/39292       258             153             0.59
poem-social/default/39292       322             201             0.62
poem-identity/default/39292     297             154             0.52
poem-adventure/default/39292    240             158             0.66
poem-memories/default/39292     249             154             0.62
poem-art/default/39292          318             185             0.58
poem-freedom/default/39292      249             147             0.59
poem-technology/default/39292   266             164             0.62
poem-nature/default/190192      319             196             0.61
poem-love/default/190192        328             196             0.60
poem-dreams/default/190192      220             136             0.62
poem-social/default/190192      286             176             0.62
poem-identity/default/190192    247             136             0.55
poem-adventure/default/190192   235             145             0.62
poem-memories/default/190192    220             130             0.59
poem-art/default/190192         245             151             0.62
poem-freedom/default/190192     205             126             0.61
poem-technology/default/190192  369             225             0.61
poem-nature/default/12912       281             166             0.59
poem-love/default/12912         279             168             0.60
poem-dreams/default/12912       215             133             0.62
poem-social/default/12912       347             217             0.63
poem-identity/default/12912     207             127             0.61
poem-adventure/default/12912    263             170             0.65
poem-memories/default/12912     227             136             0.60
poem-art/default/12912          241             151             0.63
poem-freedom/default/12912      285             173             0.61
poem-technology/default/12912   292             192             0.66
poem-nature/default/1337        216             145             0.67
poem-love/default/1337          305             164             0.54
poem-dreams/default/1337        202             125             0.62
poem-social/default/1337        194             136             0.70
poem-identity/default/1337      305             183             0.60
poem-adventure/default/1337     259             166             0.64
poem-memories/default/1337      229             154             0.67
poem-art/default/1337           204             136             0.67
poem-freedom/default/1337       186             120             0.65
poem-technology/default/1337    278             172             0.62
-----------------------------------------------------------
mean:0.613      range:0.183     sd:0.033
-----------------------------------------------------------

-----------------------------------------------------------
WizardLM-7B-uncensored.Q8_0.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     307             167             0.54
poem-love/default/1324932       329             162             0.49
poem-dreams/default/1324932     209             122             0.58
poem-social/default/1324932     281             163             0.58
poem-identity/default/1324932   280             137             0.49
poem-adventure/default/1324932  278             143             0.51
poem-memories/default/1324932   225             136             0.60
poem-art/default/1324932        215             134             0.62
poem-freedom/default/1324932    228             113             0.50
poem-technology/default/1324932 283             135             0.48
poem-nature/default/39292       267             148             0.55
poem-love/default/39292         248             140             0.56
poem-dreams/default/39292       167             106             0.63
poem-social/default/39292       250             160             0.64
poem-identity/default/39292     213             108             0.51
poem-adventure/default/39292    225             131             0.58
poem-memories/default/39292     231             126             0.55
poem-art/default/39292          220             127             0.58
poem-freedom/default/39292      223             123             0.55
poem-technology/default/39292   207             136             0.66
poem-nature/default/190192      314             166             0.53
poem-love/default/190192        213             110             0.52
poem-dreams/default/190192      257             150             0.58
poem-social/default/190192      227             139             0.61
poem-identity/default/190192    211             116             0.55
poem-adventure/default/190192   265             127             0.48
poem-memories/default/190192    240             127             0.53
poem-art/default/190192         252             140             0.56
poem-freedom/default/190192     233             133             0.57
poem-technology/default/190192  188             116             0.62
poem-nature/default/12912       258             171             0.66
poem-love/default/12912         224             114             0.51
poem-dreams/default/12912       182             115             0.63
poem-social/default/12912       299             182             0.61
poem-identity/default/12912     249             139             0.56
poem-adventure/default/12912    265             128             0.48
poem-memories/default/12912     297             138             0.46
poem-art/default/12912          262             138             0.53
poem-freedom/default/12912      225             134             0.60
poem-technology/default/12912   259             146             0.56
poem-nature/default/1337        190             128             0.67
poem-love/default/1337          275             142             0.52
poem-dreams/default/1337        266             138             0.52
poem-social/default/1337        191             115             0.60
poem-identity/default/1337      244             122             0.50
poem-adventure/default/1337     243             144             0.59
poem-memories/default/1337      241             137             0.57
poem-art/default/1337           290             149             0.51
poem-freedom/default/1337       254             139             0.55
poem-technology/default/1337    266             130             0.49
-----------------------------------------------------------
mean:0.558      range:0.209     sd:0.053
-----------------------------------------------------------

-----------------------------------------------------------
zephyr-7b-beta.Q8_0.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     199             121             0.61
poem-love/default/1324932       253             145             0.57
poem-dreams/default/1324932     186             117             0.63
poem-social/default/1324932     280             156             0.56
poem-identity/default/1324932   268             146             0.54
poem-adventure/default/1324932  185             117             0.63
poem-memories/default/1324932   214             139             0.65
poem-art/default/1324932        211             132             0.63
poem-freedom/default/1324932    188             120             0.64
poem-technology/default/1324932 198             129             0.65
poem-nature/default/39292       422             245             0.58
poem-love/default/39292         181             116             0.64
poem-dreams/default/39292       243             149             0.61
poem-social/default/39292       301             177             0.59
poem-identity/default/39292     294             163             0.55
poem-adventure/default/39292    232             134             0.58
poem-memories/default/39292     198             137             0.69
poem-art/default/39292          363             191             0.53
poem-freedom/default/39292      284             171             0.60
poem-technology/default/39292   201             125             0.62
poem-nature/default/190192      191             124             0.65
poem-love/default/190192        298             169             0.57
poem-dreams/default/190192      233             138             0.59
poem-social/default/190192      319             186             0.58
poem-identity/default/190192    273             159             0.58
poem-adventure/default/190192   267             149             0.56
poem-memories/default/190192    268             150             0.56
poem-art/default/190192         297             177             0.60
poem-freedom/default/190192     217             147             0.68
poem-technology/default/190192  291             157             0.54
poem-nature/default/12912       169             108             0.64
poem-love/default/12912         290             171             0.59
poem-dreams/default/12912       413             193             0.47
poem-social/default/12912       269             157             0.58
poem-identity/default/12912     261             169             0.65
poem-adventure/default/12912    267             157             0.59
poem-memories/default/12912     346             196             0.57
poem-art/default/12912          270             150             0.56
poem-freedom/default/12912      286             163             0.57
poem-technology/default/12912   253             156             0.62
poem-nature/default/1337        214             139             0.65
poem-love/default/1337          412             202             0.49
poem-dreams/default/1337        300             182             0.61
poem-social/default/1337        387             214             0.55
poem-identity/default/1337      289             149             0.52
poem-adventure/default/1337     273             168             0.62
poem-memories/default/1337      215             145             0.67
poem-art/default/1337           250             151             0.60
poem-freedom/default/1337       220             131             0.60
poem-technology/default/1337    259             147             0.57
-----------------------------------------------------------
mean:0.594      range:0.225     sd:0.046
-----------------------------------------------------------
